input_size,comp,swap,basic,time,mem
100,398,199,2891,208875,3728
101,562,281,3800,256291,2428
102,480,240,3356,223833,2528
103,566,283,3836,260291,2556
104,616,308,4118,274833,2492
105,558,279,3806,255334,2620
106,646,323,4297,290000,2556
107,560,280,3831,254125,2620
108,616,308,4146,280084,2556
109,562,281,3856,261167,2780
110,724,362,4754,326833,2652
111,514,257,3606,242583,2780
112,574,287,3943,264000,2844
113,688,344,4577,312041,2652
114,696,348,4628,318375,2780
115,716,358,4745,327667,2844
116,648,324,4378,298958,2780
117,688,344,4605,318916,2716
118,692,346,4634,324291,2844
119,684,342,4597,313709,2844
120,706,353,4725,323833,2780
121,700,350,4699,321750,2748
122,668,334,4530,311791,2844
123,602,301,4174,288667,2908
124,626,313,4313,294917,2908
125,720,360,4837,335708,2972
126,728,364,4888,337709,2844
127,700,350,4741,327042,2908
128,646,323,4451,307000,2908
129,754,377,5052,354916,2940
130,818,409,5411,375833,3004
131,810,405,5374,375833,2940
132,882,441,5777,402958,3068
133,706,353,4816,339250,3068
134,822,411,5461,379792,3132
135,748,374,5061,356500,3068
136,858,429,5673,398583,3004
137,838,419,5570,386500,3132
138,944,472,6160,437416,3196
139,878,439,5804,412292,3068
140,860,430,5712,406792,3132
141,812,406,5455,377583,3068
142,970,485,6331,454333,3196
143,950,475,6228,435667,3068
144,854,427,5707,405542,3228
145,950,475,6242,439167,3324
146,810,405,5479,386875,3196
147,962,481,6322,446084,3196
148,930,465,6153,437833,3324
149,890,445,5940,421542,3580
150,858,429,5771,414166,3516
151,972,486,6405,460750,3420
152,906,453,6049,427250,3516
153,946,473,6276,451166,3452
154,1062,531,6921,497334,3516
155,932,466,6213,447917,3452
156,998,499,6583,476709,3516
157,910,455,6106,431958,3580
158,1034,517,6795,490000,3516
159,1070,535,7000,510416,3516
160,1096,548,7150,509834,3516
161,1138,569,7388,529542,3516
162,1078,539,7065,507541,3516
163,1092,546,7149,514541,3580
164,1002,501,6661,485917,3580
165,1186,593,7680,557000,3516
166,1076,538,7082,506084,3580
167,1208,604,7815,569834,3708
168,1072,536,7074,512875,3580
169,1148,574,7499,540375,3644
170,1140,570,7462,541917,3644
171,1238,619,8008,582167,3676
172,1102,551,7267,533541,3644
173,1074,537,7120,516917,3868
174,1124,562,7402,540625,3868
175,1194,597,7794,566875,3932
176,1218,609,7933,571458,3932
177,1188,594,7775,559584,3868
178,1268,634,8222,600917,3932
179,1200,600,7855,570209,3868
180,1260,630,8192,596459,3996
181,1318,659,8518,622208,3996
182,1298,649,8415,625083,3868
183,1164,582,7685,566708,3932
184,1260,630,8220,592542,3996
185,1200,600,7897,584792,3932
186,1264,632,8256,599791,3996
187,1276,638,8329,607833,3996
188,1318,659,8567,627750,3932
189,1410,705,9080,660875,4603
190,1364,682,8834,633875,3996
191,1474,737,9446,697375,3964
192,1366,683,8859,642291,4060
193,1398,699,9042,649625,4124
194,1420,710,9170,660459,4060
195,1328,664,8671,626042,4124
196,1262,631,8315,602708,4124
197,1438,719,9290,670084,3996
198,1372,686,8934,639958,4060
199,1384,692,9007,653208,4060
200,1324,662,8684,632875,4188
201,1414,707,9186,660583,4380
202,1354,677,8863,643959,4380
203,1402,701,9134,666291,4380
204,1514,757,9757,707875,4444
205,1506,753,9720,703542,4444
206,1504,752,9716,706875,4380
207,1552,776,9987,734209,4508
208,1636,818,10456,755250,4444
209,1350,675,8890,645291,4444
210,1590,795,10217,746334,4508
211,1472,736,9575,701750,4380
212,1552,776,10022,746250,4508
213,1618,809,10392,766375,4444
214,1690,845,10795,783291,4444
215,1558,779,10076,731250,4508
216,1726,863,11007,813292,4444
217,1772,886,11267,832875,4444
218,1694,847,10845,880542,4572
219,1522,761,9906,732250,4508
220,1580,790,10232,740917,4508
221,1670,835,10734,790208,4636
222,1860,930,11786,880125,4636
223,1768,884,11287,834750,4636
224,1784,892,11382,844875,4636
225,1560,780,10157,752833,4572
226,1722,861,11055,808375,4636
227,1670,835,10776,805292,4572
228,1868,934,11872,878375,4572
229,1752,876,11241,821666,4700
230,1676,838,10830,796083,4636
231,1862,931,11860,874916,4636
232,1878,939,11955,889292,4636
233,1816,908,11621,850708,5052
234,1948,974,12354,910500,4988
235,1902,951,12108,904458,5052
236,2106,1053,13237,987750,5052
237,1782,891,11462,849208,5180
238,2048,1024,12932,951166,4924
239,1828,914,11729,857500,5180
240,1948,974,12396,904459,4988
241,2154,1077,13536,1000167,5116
242,1908,954,12190,902250,5116
243,2224,1112,13935,1031875,4924
244,1834,917,11797,881209,5116
245,2140,1070,13487,1023459,5116
246,2158,1079,13593,995459,4988
247,1994,997,12698,932041,5052
248,2050,1025,13013,951209,5052
249,2060,1030,13075,970667,5180
250,2208,1104,13896,1016833,4988
251,2036,1018,12957,949833,5180
252,2090,1045,13261,986291,4988
253,2132,1066,13499,986291,4924
254,2008,1004,12824,941000,5180
255,2012,1006,12853,951250,5052
256,2104,1052,13366,978750,5052
257,2010,1005,12856,957292,5052
258,2146,1073,13611,1009000,5308
259,2084,1042,13277,997667,5052
260,2046,1023,13075,963416,5244
261,2398,1199,15018,1123667,5116
262,2036,1018,13034,972541,5180
263,2216,1108,14031,1050542,5180
264,2290,1145,14445,1069792,5372
265,2198,1099,13946,1039333,5244
266,2114,1057,13491,1010458,5244
267,2392,1196,15027,1127291,5180
268,2260,1130,14308,1079000,5308
269,2392,1196,15041,1104542,5436
270,2470,1235,15477,1163625,5692
271,2144,1072,13691,1010542,5628
272,2200,1100,14006,1065167,5628
273,2194,1097,13980,1040916,5756
274,2564,1282,16022,1197291,5692
275,2310,1155,14632,1092667,5564
276,2298,1149,14573,1076875,5564
277,2290,1145,14536,1080166,5756
278,2594,1297,16215,1190250,5628
279,2670,1335,16640,1247667,5628
280,2070,1035,13347,998375,5692
281,2514,1257,15796,1197583,5692
282,2432,1216,15352,1139291,5628
283,2558,1279,16052,1226708,5692
284,2508,1254,15784,1162125,5692
285,2418,1209,15296,1153667,5628
286,2650,1325,16579,1212084,5756
287,2640,1320,16531,1210083,5820
288,2556,1278,16076,1189125,5756
289,2696,1348,16853,1268792,5884
290,2338,1169,14891,1129709,5756
291,2414,1207,15316,1150583,5948
292,2558,1279,16115,1189791,6012
293,2562,1281,16144,1222917,5884
294,2670,1335,16745,1259000,5948
295,2442,1221,15498,1159833,6076
296,2192,1096,14130,1060791,5884
297,2690,1345,16876,1276333,5884
298,2404,1202,15310,1152625,6076
299,2592,1296,16351,1263792,5820
300,2620,1310,16512,1225834,5948
301,2698,1349,16948,1292250,6012
302,2692,1346,16922,1265416,5948
303,2590,1295,16368,1243875,5884
304,2792,1396,17486,1315000,6012
305,2944,1472,18329,1381125,6076
306,2714,1357,17071,1304458,6140
307,2564,1282,16253,1221500,5948
308,2612,1306,16524,1252042,5948
309,2926,1463,18258,1377792,6236
310,2606,1303,16505,1248375,6364
311,2868,1434,17953,1331583,6300
312,3106,1553,19269,1472500,6300
313,2854,1427,17890,1363542,6492
314,2698,1349,17039,1287125,6364
315,3198,1599,19796,1517542,6364
316,2920,1460,18274,1377667,6492
317,2886,1443,18094,1367583,6492
318,2912,1456,18244,1382667,6492
319,3046,1523,18988,1419500,6428
320,3012,1506,18808,1435208,6556
321,2934,1467,18386,1392541,6428
322,2806,1403,17689,1324958,6556
323,3226,1613,20006,1514625,6556
324,2760,1380,17450,1315625,6428
325,3186,1593,19800,1486500,6620
326,3102,1551,19345,1490625,6684
327,2966,1483,18604,1402458,6620
328,3162,1581,19689,1509125,6428
329,2974,1487,18662,1405250,6556
330,2984,1492,18724,1414375,6620
331,3192,1596,19875,1486042,6492
332,3054,1527,19123,1473750,6620
333,3108,1554,19427,1481708,6492
334,3182,1591,19841,1500208,6620
335,3014,1507,18924,1457083,6684
336,3056,1528,19162,1445125,6556
337,3302,1651,20522,1532542,6684
338,3476,1738,21486,1624416,6556
339,3154,1577,19722,1476875,6620
340,3154,1577,19729,1462208,6556
341,3218,1609,20088,1530625,6748
342,3292,1646,20502,1549375,6556
343,3246,1623,20256,1547542,6556
344,3094,1547,19427,1455208,6684
345,3162,1581,19808,1497875,6748
346,3248,1624,20288,1551084,6620
347,3292,1646,20537,1572875,6684
348,3404,1702,21160,1589667,6748
349,3194,1597,20012,1521875,6620
350,3428,1714,21306,1598500,6620
351,3456,1728,21467,1653833,6812
352,3112,1556,19582,1728709,6876
353,3450,1725,21448,1677292,7068
354,3546,1773,21983,1682625,7196
355,3624,1812,22419,1689875,7132
356,3500,1750,21744,1661625,7068
357,3638,1819,22510,1699625,7068
358,3478,1739,21637,1664583,7196
359,3876,1938,23833,1779833,7260
360,3840,1920,23642,1766875,7132
361,3358,1679,20998,1584084,7196
362,3544,1772,22028,1657084,7132
