input_size,comp,swap,basic,time,mem
100,2046,571,6448,1828334,3616
200,4901,1357,15101,4438458,3344
300,8016,2208,24476,7394125,4972
400,11335,3113,34394,10682500,6572
500,14800,4054,44713,14164375,8172
600,18398,4995,55522,17918584,9800
700,22146,6012,66607,21822417,11400
800,25985,7045,77953,25869416,13000
900,29804,8067,89266,29857750,14600
1000,33529,9051,100390,33840458,16200
1100,37592,10143,112355,37811709,17800
1200,41655,11237,124315,42051125,19400
1300,45783,12335,136487,46492417,21000
1400,49975,13460,148790,51117208,22600
1500,54070,14525,160962,55339291,24200
1600,58322,15707,173290,59850958,25800
1700,62423,16747,185578,64303166,27400
1800,66695,17895,198104,69095459,29000
1900,70946,19027,210621,75041291,30600
2000,75177,20146,223068,78616042,32200
2100,79573,21368,235796,82945458,33800
2200,83972,22463,248975,87694333,35400
2300,88398,23671,261848,92421375,37000
2400,92915,24875,275039,97631458,38600
2500,97410,26059,288260,102424917,40200
2600,101878,27240,301379,107206291,41800
2700,106420,28430,314748,112397625,43400
2800,111002,29655,328098,117389417,45000
2900,115364,30783,341025,121884041,46600
3000,120282,32105,355298,127831667,48200
3100,124782,33316,368415,132337500,49800
3200,129264,34473,381678,137202625,51400
3300,133875,35718,395089,142536083,53000
3400,138495,36951,408570,148087792,54600
3500,143206,38193,422354,152727417,56200
3600,147655,39344,435518,157633000,57800
3700,152632,40737,449712,163427625,59400
3800,157053,41823,463014,167916375,61000
3900,161764,43133,476544,173082875,62600
4000,166278,44315,489842,178257292,64200
4100,171182,45631,504060,183501750,65800
4200,176002,46921,518063,189174875,67400
4300,180557,48102,531501,193805458,69000
4400,185599,49440,546156,200258041,70600
4500,190408,50625,560506,204864833,72200
4600,195172,51914,574333,210270958,73800
4700,200071,53216,588584,216233458,75400
4800,204994,54500,602989,221149583,77000
4900,209773,55750,616986,226202584,78600
5000,214806,57126,631464,233245167,80200
5100,219536,58350,645393,237185625,81800
5200,224660,59695,660309,243409041,83400
5300,229826,61098,675171,248887333,85000
5400,234511,62310,688979,254038875,86600
5500,239483,63650,703335,260705459,88200
5600,244391,64947,717656,268237042,89800
5700,249473,66300,732412,272859750,91400
5800,254330,67519,746818,279156875,93000
5900,259089,68784,760675,283688625,94600
6000,264473,70240,776163,289465042,96200
6100,268927,71332,789557,294803209,97800
6200,274355,72892,804804,302519166,99400
6300,279257,74110,819374,307064833,101000
6400,284254,75423,833958,312973000,102600
6500,289087,76688,848105,317501584,104200
6600,294332,78155,863022,324665250,105800
6700,299013,79264,877179,327979583,107400
6800,304281,80660,892443,348009625,109000
6900,309323,82002,907074,340780208,110600
7000,314215,83368,921060,355651125,112200
7100,319401,84693,936307,351863542,113800
7200,324270,85921,950717,358803625,115400
7300,329283,87329,965002,364215625,117000
7400,334440,88699,979945,373099708,118600
7500,339354,90023,994189,374469958,120200
7600,344710,91408,1009816,381398541,121800
7700,349372,92612,1023562,385881959,123400
7800,354733,93976,1039282,391793042,125000
7900,359534,95238,1053325,403803208,126600
8000,364850,96675,1068596,404733209,128200
8100,369806,97937,1083226,408888250,129800
8200,374920,99273,1098143,414017500,131400
8300,380044,100638,1112995,419511000,133000
8400,385240,101956,1128281,426113625,134600
8500,390565,103449,1143396,429123000,136200
8600,395964,104894,1158956,436778000,137800
8700,401033,106163,1173956,441471542,139400
8800,406048,107507,1188504,453795625,141000
8900,411746,109071,1204703,456811625,142600
9000,416455,110168,1219023,461156792,144200
9100,422017,111741,1234709,466080458,145800
9200,427142,113051,1249778,471661167,147400
9300,432558,114436,1265604,477117500,149000
9400,437836,115865,1280793,485174459,150600
9500,442942,117236,1295564,490991917,152200
9600,448242,118510,1311374,495044333,153800
9700,453486,119945,1326407,500915625,155400
9800,459146,121480,1342608,508352167,157000
9900,464285,122834,1357553,513989084,158600
