input_size,comp,swap,basic,time,mem
100,1949,275,6673,1034500,5692
101,1993,289,6772,1027667,2188
102,1995,282,6829,1019500,1756
103,2031,279,6920,1031625,1772
104,2059,293,7003,1064292,1780
105,2087,309,7086,1079584,2324
106,2119,322,7173,1072417,1820
107,2137,321,7246,1077167,1836
108,2129,290,7293,1076792,1844
109,2179,315,7398,1097375,3075
110,2207,316,7481,1104125,1876
111,2211,322,7540,1089625,1892
112,2245,319,7629,1098500,1900
113,2269,324,7708,1110792,1940
114,2291,324,7785,1122583,1948
115,2329,342,7878,1132459,1964
116,2333,330,7937,1155958,1972
117,2355,329,8014,1151166,1996
118,2377,347,8091,1180417,2004
119,2399,332,8168,1187292,2020
120,2415,327,8239,1197916,2028
121,2441,344,8320,1206000,2060
122,2467,341,8401,1236125,2068
123,2523,356,8512,1227917,2084
124,2521,366,8565,1249459,2092
125,2571,366,8670,1261917,2116
126,2579,367,8733,1277167,2124
127,2603,366,8812,1281167,2140
128,2649,376,8913,1315291,2148
129,2644,367,8969,1309500,2660
130,2685,388,9071,1333834,2256
131,2710,393,9157,1337708,2272
132,2717,384,9225,1350208,2252
133,2740,391,9309,1405584,2304
134,2771,396,9401,1379166,2312
135,2808,407,9499,1396458,2328
136,2833,413,9585,1416083,2336
137,2844,394,9657,1422125,2368
138,2881,420,9755,1501542,2376
139,2894,408,9829,1450667,2392
140,2917,421,9913,1461333,2400
141,2952,433,10009,1475709,2424
142,2991,438,10109,1484958,2432
143,3006,435,10185,1518542,2448
144,3047,441,10287,1513625,2456
145,3086,448,10387,1524708,2496
146,3073,448,10435,1537291,2504
147,3136,460,10559,1555625,2520
148,3105,443,10589,1649917,2528
149,3192,469,10737,1583917,2552
150,3193,471,10799,1608584,2560
151,3210,467,10877,1609250,2576
152,3233,463,10961,1620791,2584
153,3254,465,11043,1719125,2616
154,3301,468,11151,1644333,2624
155,3310,479,11221,1665750,2640
156,3349,486,11321,1687834,2648
157,3344,493,11377,1717917,2672
158,3415,490,11509,1798000,2680
159,3452,518,11607,1731500,2696
160,3463,498,11679,1729792,2704
161,3482,499,11759,1745666,2752
162,3505,522,11843,1776917,2760
163,3496,501,11895,1849125,2776
164,3567,551,12027,1825333,2784
165,3588,530,12109,1805666,2808
166,3589,523,12171,1820625,2816
167,3622,528,12265,1835209,2832
168,3681,550,12385,1947500,2840
169,3700,540,12465,1869583,2872
170,3715,551,12541,1872125,2880
171,3756,557,12643,1903750,2896
172,3785,554,12733,1915875,2904
173,3796,550,12805,2014417,2928
174,3833,568,12903,1950542,2936
175,3826,545,12957,1931750,2952
176,3857,555,13049,1934500,2960
177,3894,571,13147,1965000,3000
178,3923,568,13237,2032084,3008
179,3954,583,13329,2014750,3024
180,3997,588,13433,2022916,3032
181,4006,580,13503,2034084,3056
182,4047,602,13605,2046500,3064
183,4058,580,13677,2188667,3080
184,4071,614,13751,2074375,3088
185,4098,610,13839,2074625,3120
186,4111,602,13913,2067667,3128
187,4158,607,14021,2091125,3144
188,4203,633,14127,2222625,3152
189,4196,614,14181,2145958,3176
190,4251,601,14297,2127958,3184
191,4270,629,14377,2155958,3200
192,4309,634,14477,2170666,3208
193,4316,621,14545,2244792,3264
194,4355,644,14645,2202709,3272
195,4378,628,14729,2194500,3288
196,4383,630,14795,2208458,3296
197,4426,645,14899,2223209,3320
198,4467,651,15001,2394708,3328
199,4474,651,15069,2273667,3344
200,4517,646,15173,2268000,3352
201,4530,666,15247,2283292,3384
202,4547,672,15325,2293416,3392
203,4568,671,15407,2408667,3408
204,4651,694,15551,2379584,3416
205,4648,694,15609,2333750,3440
206,4635,651,15657,2341750,3448
207,4684,693,15767,2349541,3464
208,4719,685,15863,2383667,3472
209,4768,700,15973,2393958,3512
210,4789,703,16055,2433792,3520
211,4834,718,16161,2424708,3536
212,4833,714,16221,2428500,3544
213,4846,714,16295,2465167,3568
