input_size,comp,swap,basic,time,mem
100,1428,159,3136,662368,6924
101,1393,166,3128,632695,1732
102,1361,168,3089,618396,316
103,1126,171,2760,520783,316
104,1509,168,3314,687080,316
105,1269,172,2978,579193,316
106,1546,173,3402,690085,316
107,1306,167,3006,600198,1904
108,1281,182,3060,608724,316
109,1338,181,3141,617190,316
110,1573,182,3502,704099,316
111,1368,178,3168,622985,316
112,1368,192,3258,633129,316
113,1606,181,3556,726345,316
114,1515,189,3456,712649,316
115,1754,196,3867,805091,316
116,1413,201,3376,732184,316
117,1413,191,3315,676873,316
118,1514,197,3500,707314,316
119,1433,214,3485,688757,316
120,1417,205,3408,691107,316
121,1721,200,3834,793381,316
122,1580,208,3675,727128,316
123,1542,205,3594,721509,316
124,1840,210,4081,839816,788
125,1693,205,3818,793011,316
126,1868,207,4102,859093,316
127,1621,220,3811,776747,316
128,2255,205,4663,1012883,316
129,1712,218,3932,798577,316
130,1769,234,4120,859394,316
131,1955,219,4299,897501,788
132,1560,237,3829,748393,316
133,1735,227,4022,805349,316
134,2108,231,4609,952596,316
135,2287,229,4865,1018444,316
136,1949,230,4365,902613,316
137,2179,234,4727,1015210,316
138,1814,236,4193,867205,316
139,2056,240,4587,934894,316
140,1971,244,4491,906806,316
141,2028,235,4506,976944,316
142,1868,261,4425,897376,344
143,2026,252,4610,950517,316
144,1922,247,4425,922957,316
145,2153,250,4796,983695,316
146,2118,254,4770,969598,316
147,2134,253,4791,982929,316
148,1964,261,4578,931306,344
149,1993,261,4617,937442,344
150,2250,258,4987,1057752,344
151,2115,270,4867,1010713,344
152,1986,269,4665,936418,344
153,1866,289,4602,923967,344
154,2314,273,5181,1067118,344
155,2539,260,5432,1283875,344
156,2413,274,5338,1235143,344
157,2724,268,5762,1273859,344
158,2232,282,5111,1051186,344
159,2232,278,5093,1036125,344
160,2068,299,4972,1019239,344
161,2401,282,5366,1172971,344
162,2519,287,5571,1171940,344
163,2134,289,5003,1029772,344
164,2320,296,5329,1109287,344
165,2179,292,5090,1068118,344
166,2502,306,5664,1221891,344
167,2284,311,5372,1124529,344
168,2807,295,6055,1293295,344
169,2357,305,5445,1129346,344
170,2224,315,5300,1078221,344
171,2392,308,5513,1148066,344
172,2615,313,5870,1288426,344
173,2769,312,6110,1283985,344
174,2250,321,5388,1098115,344
175,2830,315,6211,1301436,344
176,2439,325,5682,1180973,344
177,2394,323,5610,1165894,344
178,2406,327,5646,1159304,344
179,2307,331,5527,1469321,344
180,2714,326,6113,2483059,344
181,2373,343,5704,1342240,344
182,2645,333,6045,1268561,344
183,2495,360,5987,1241484,344
184,2844,329,6322,1333864,344
185,3014,333,6592,1394230,344
186,2582,334,5955,1264145,344
187,2623,337,6046,1270254,344
188,3436,333,7239,1676707,2232
189,2665,339,6112,1290932,344
190,2471,367,5996,1226546,344
191,3329,345,7146,1545137,344
192,2662,355,6210,1286761,344
193,2771,368,6450,1336136,344
194,3090,348,6810,1482317,344
195,2908,357,6603,1412614,344
196,2632,365,6224,1310910,344
197,2585,375,6217,1296701,344
198,3174,359,7001,1487178,344
199,2858,377,6635,1428535,344
200,3032,385,6945,1466674,344
201,2940,365,6686,1411617,344
202,3532,361,7550,1614594,344
203,3120,376,7021,1483906,344
204,3008,378,6876,1435358,344
205,2833,404,6765,1421846,344
206,2890,396,6810,1437037,344
207,3299,391,7389,1557498,344
208,2872,406,6834,1407168,344
209,3024,393,6989,1465957,344
210,3084,390,7056,1474419,344
211,3087,401,7135,1515729,344
212,2849,405,6803,1446605,344
213,2895,406,6876,1444485,344
214,3061,403,7105,1500823,344
215,3526,407,7838,1682338,344
216,3445,405,7692,1652501,344
217,3441,418,7771,1696990,344
218,3813,396,8194,1769389,344
219,3353,405,7550,1644792,344
220,3522,393,7735,1857600,344
221,3816,397,8214,1808298,344
222,3817,423,8366,1782691,344
223,3967,402,8458,1836523,344
224,3742,423,8253,1784048,344
225,3330,444,7759,1655149,344
226,3269,406,7433,1589785,344
227,3452,433,7878,1662798,344
228,3367,430,7734,1649191,344
229,3528,437,8013,1729298,344
230,3883,429,8501,1821351,344
231,3203,448,7596,1600194,344
232,3834,440,8491,1790380,344
233,3559,442,8088,1709631,344
234,4358,424,9183,2010798,344
235,3729,442,8348,1773219,344
236,4140,443,8967,2002914,344
237,3838,462,8644,1900288,344
238,4128,444,8965,1966933,344
239,3868,454,8627,1847722,344
240,3473,474,8160,1736975,344
241,3392,473,8034,1680689,344
242,3707,469,8485,1832004,344
243,4210,454,9147,2007594,344
244,3920,479,8869,1968101,344
245,4252,461,9246,2103577,344
246,3847,474,8724,1869422,344
247,3921,480,8874,1898187,344
248,3721,472,8525,1830925,344
249,3877,482,8813,1894435,344
250,4341,477,9483,2052838,344
251,3856,484,8806,1874730,344
252,3480,492,8286,1745253,344
253,3597,506,8549,1802312,344
254,3728,528,8882,1919758,344
255,3834,501,8873,1911781,344
256,4049,505,9221,2029645,344
257,3969,482,8947,1942601,344
258,4402,516,9815,2136571,428
259,4259,483,9386,2054537,428
260,4261,509,9566,2081430,568
261,4243,497,9461,2085815,652
262,4209,506,9476,2035396,596
263,4404,501,9731,2185897,568
264,4748,514,10324,2319812,624
265,4010,526,9287,2010080,596
266,4656,502,10123,2244125,708
267,4350,522,9776,2211020,736
268,4480,515,9941,2273199,736
269,3898,527,9124,2050531,736
270,3905,536,9188,2095299,792
271,4971,526,10729,2425027,680
272,4438,538,10021,2268549,736
273,4384,536,9923,2223989,820
274,3994,546,9382,2051688,876
275,4940,528,10699,2446626,820
276,4417,542,10006,2188953,820
277,4385,564,10096,2212916,764
278,4656,524,10245,2305465,932
279,5153,541,11112,2509718,1128
280,4365,557,10017,2226896,1016
281,4297,559,9923,2178962,876
282,4617,573,10489,2364356,932
283,4751,538,10485,2389720,932
284,5796,536,12040,2869316,1016
285,4611,553,10360,2348804,988
286,4206,571,9874,2211348,988
287,4910,564,10874,2468069,1184
288,4419,564,10145,2265472,960
289,4489,582,10351,2327273,960
290,4293,591,10115,2319131,988
291,4794,570,10737,2468408,1016
292,4595,578,10493,2458904,1100
293,4587,589,10560,2400833,1156
294,4878,589,10977,2552674,1044
295,4329,604,10257,2319369,1072
296,5885,573,12394,2919421,1572
297,4197,609,10081,2266781,1100
298,4625,605,10706,2473636,1352
299,5068,592,11296,2605333,1072
300,5379,576,11659,2695031,1184
301,4418,604,10382,2336062,1016
302,4485,603,10480,2494299,1100
303,5025,609,11325,2612845,1156
304,4625,621,10801,2484769,1184
305,4576,617,10704,2426220,1380
306,5011,616,11342,2577310,1044
307,4845,628,11182,2582330,1296
308,4933,602,11148,2571345,1212
309,5717,608,12365,2902535,1240
310,5089,631,11556,2680830,1100
311,4874,630,11228,2597372,1268
312,5094,633,11576,2711271,1212
313,5467,632,12133,2815395,1072
314,4532,648,10843,2510727,1408
315,5230,610,11637,2773210,1156
316,5250,626,11766,2774975,1128
317,5604,626,12312,3014208,1324
318,4853,649,11319,2637326,1436
319,5552,651,12382,2956980,1296
320,5458,637,12153,2840879,1156
321,5072,655,11691,2780991,1156
322,5247,647,11911,2859616,1380
323,5391,661,12196,2864595,1408
324,5349,639,12012,2873705,1240
325,5402,633,12038,2818915,1044
326,5036,658,11645,2760802,1380
327,5280,669,12083,2788233,1380
328,5283,654,11996,2828007,1100
329,5157,663,11856,2757747,1100
330,5434,677,12363,2923609,1212
331,5648,663,12599,3041100,1324
332,6303,655,13534,3280218,1352
333,4918,714,11813,2783490,1380
334,6185,658,13385,3147028,1100
335,5830,677,12958,3098289,1352
336,5443,700,12528,2943622,1240
337,5600,686,12662,2994375,1016
338,5851,682,13028,3119628,1352
339,5655,669,12650,2979424,1212
340,5247,704,12247,2811226,1408
341,5657,699,12826,3092030,1408
342,6399,679,13827,3347799,1436
343,5747,697,12957,3153320,1324
344,5336,724,12502,3011633,1296
345,5782,705,13058,3077733,1184
346,5735,687,12884,3146993,1380
347,5651,703,12849,3041675,1352
