input_size,comp,swap,basic,time,mem
100,1947,0,7662,960678,5092
200,4501,0,17148,2009724,2092
300,7251,0,27262,3298684,2554
400,10201,0,37912,4903446,1972
500,13205,0,48616,6609468,3351
600,16333,0,59972,8835852,3372
700,19583,0,71522,10874061,3284
800,22787,0,83026,11701826,3684
900,26075,0,94614,13597656,4084
1000,29361,0,106200,15274486,4484
1100,32757,0,118352,17223844,5372
1200,36345,0,130840,19256153,5284
1300,39775,0,143170,21022749,5684
1400,43305,0,155600,22869666,6084
1500,46961,0,168156,24800727,6484
1600,50373,0,180468,26841549,6884
1700,54017,0,193012,28735682,7284
1800,57603,0,205498,30545901,7684
1900,61187,0,217982,32550640,8084
2000,64781,0,230476,34414579,8484
2100,68439,0,243346,36530890,9372
2200,72217,0,256624,38328729,9284
2300,76007,0,269914,41289082,9684
2400,79843,0,283250,42697755,10084
2500,83625,0,296532,44858028,10484
2600,87419,0,309826,47691514,10884
2700,91179,0,323086,49114920,11284
2800,95155,0,336562,50943316,11684
2900,98909,0,349816,53483128,12084
3000,102741,0,363148,55271734,12484
3100,106691,0,376598,57620169,12884
3200,110359,0,389766,59434473,13284
3300,114331,0,403238,61742395,13684
3400,118265,0,416672,63415096,14084
3500,122139,0,430046,65757275,14484
3600,125865,0,443272,67712994,14884
3700,129767,0,456674,69768353,15284
3800,133729,0,470136,72026766,15684
3900,137665,0,483572,79303021,16084
4000,141549,0,496956,76131370,16484
4100,145461,0,510392,78455110,17372
4200,149507,0,524538,80974969,17284
4300,153711,0,538842,82498049,17684
4400,157657,0,552888,84521428,18084
4500,161693,0,567024,87292207,18484
4600,165957,0,581388,99839099,18884
4700,169817,0,595348,91749472,19284
4800,174091,0,609722,93739418,19684
4900,178033,0,623764,95675131,20084
5000,182221,0,638052,98082006,20484
5100,186311,0,652242,100874504,20884
5200,190397,0,666428,103016002,21284
5300,194639,0,680770,106447579,21684
5400,198859,0,695090,107302432,22084
5500,202861,0,709192,110163004,22484
5600,206867,0,723298,111941899,22884
5700,210983,0,737514,114601488,23284
5800,215257,0,751888,116680000,23684
5900,219299,0,766030,120868001,24084
6000,223539,0,780370,121130059,24484
6100,227463,0,794394,123701291,24884
6200,231879,0,808910,125194418,25284
6300,235901,0,823032,127363858,25684
6400,240163,0,837394,129658290,26084
6500,244301,0,851632,132226183,26484
6600,248525,0,865956,134185725,26884
6700,252479,0,880010,137158615,27284
6800,256733,0,894364,138753497,27684
6900,260887,0,908618,141045319,28084
7000,265173,0,923004,142930395,28484
7100,269199,0,937130,145606804,28884
7200,273571,0,951602,148820705,29284
7300,277783,0,965914,149337120,29684
7400,282077,0,980308,154931698,30084
7500,286215,0,994546,155212964,30484
7600,290453,0,1008884,158306006,30884
7700,294529,0,1023060,159762149,31284
7800,298775,0,1037406,160617664,31684
7900,302773,0,1051504,169590826,32084
8000,307119,0,1065950,165309874,32484
8100,311433,0,1080364,168678003,32884
8200,315227,0,1094306,172126062,33772
8300,320077,0,1109856,196940606,33684
8400,324171,0,1124650,177020161,34084
8500,328655,0,1139834,179842083,34484
8600,332855,0,1154734,182626261,34884
8700,337599,0,1170178,202649829,35284
8800,341893,0,1185172,186895593,35684
8900,346129,0,1200108,187854123,36084
9000,350905,0,1215584,190088024,36484
9100,355085,0,1230464,192575846,36884
9200,359473,0,1245552,196584413,37284
9300,363693,0,1260472,197178514,37684
9400,368335,0,1275814,199542260,38084
9500,372549,0,1290728,211359290,38484
9600,377153,0,1306032,205561525,38884
9700,381169,0,1320748,209821954,39284
9800,385917,0,1336196,210742201,39684
9900,390283,0,1351262,216874832,40084
