input_size,comp,swap,basic,time,mem
10,50,10,138,28818,2724
20,135,22,341,51654,1248
30,230,34,559,81904,288
40,336,45,787,137498,796
50,449,57,1032,194207,316
60,568,69,1286,249780,316
70,690,80,1538,306922,796
80,823,92,1813,370446,316
90,954,104,2085,430518,316
100,1084,115,2349,498104,316
110,1223,127,2633,553807,316
120,1360,139,2914,629568,1975
130,1498,150,3190,683858,796
140,1649,162,3492,762015,316
150,1802,174,3797,824361,316
160,1948,185,4085,889932,316
170,2099,197,4387,956216,316
180,2252,209,4692,1272435,316
190,2398,220,4980,1098663,316
200,2555,232,5291,1179762,316
210,2714,244,5605,1241235,316
220,2868,255,5905,1311416,316
230,3025,267,6216,1388082,344
240,3184,279,6530,1471712,344
250,3338,290,6830,1581392,344
260,3503,302,7153,1632210,1020
270,3674,314,7485,1787390,876
280,3840,325,7803,1855573,988
290,4013,337,8138,1970466,988
300,4184,349,8470,2091627,1100
310,4350,360,8788,2183891,1100
320,4523,372,9123,2315922,1100
330,4694,384,9455,2438647,1100
340,4860,395,9773,2518616,1100
350,5033,407,10108,2658595,1212
360,5204,419,10440,2702392,1212
370,5370,430,10758,2855441,1212
380,5543,442,11093,2964273,1212
390,5718,454,11431,3022236,1240
400,5892,465,11761,3168519,1240
410,6071,477,12105,3282948,1240
420,6248,489,12446,3370914,1240
430,6422,500,12776,3525087,1240
440,6601,512,13120,3616673,1240
450,6778,524,13461,3714535,1240
460,6952,535,13791,3861039,1240
470,7131,547,14135,3982864,1240
480,7308,559,14476,4030346,1240
490,7482,570,14806,4147686,1240
500,7661,582,15150,4304003,1240
510,7838,594,15491,4376379,1240
520,8024,605,15839,4556420,1916
530,8215,617,16201,4621067,1436
540,8408,629,16566,4826238,1436
550,8594,640,16914,6441914,1436
560,8785,652,17276,5114964,1436
570,8978,664,17641,5111113,1436
580,9164,675,17989,5320208,1436
590,9355,687,18351,5410690,1436
600,9548,699,18716,5667766,1436
610,9734,710,19064,5758454,1436
620,9925,722,19426,5717781,1436
630,10118,734,19791,5783720,1436
640,10304,745,20139,5914452,1436
650,10495,757,20501,6041408,1436
660,10688,769,20866,6145794,1436
670,10874,780,21214,6265466,1436
680,11065,792,21576,6372670,1436
690,11258,804,21941,6504937,1436
700,11444,815,22289,6583715,1436
710,11635,827,22651,6729058,1436
720,11828,839,23016,6847078,1436
730,12014,850,23364,6932535,1436
740,12205,862,23726,7222071,1436
750,12398,874,24091,7865426,1436
760,12584,885,24439,13484414,1436
770,12777,897,24804,7585900,1436
780,12976,909,25178,7755466,1464
790,13170,920,25538,7651597,1464
800,13367,932,25909,12619891,1464
810,13566,944,26283,9439034,1464
820,13760,955,26643,8054556,1464
830,13957,967,27014,8199709,1464
840,14156,979,27388,8307857,1464
850,14350,990,27748,8479298,1464
860,14547,1002,28119,8541795,1464
870,14746,1014,28493,14005074,1464
880,14940,1025,28853,8842362,1464
890,15137,1037,29224,8896030,1464
900,15336,1049,29598,9063583,1464
910,15530,1060,29958,9101593,1464
920,15727,1072,30329,9284114,1464
930,15926,1084,30703,9333005,1464
940,16120,1095,31063,9527954,1464
950,16317,1107,31434,9571385,1464
960,16516,1119,31808,9734787,1464
970,16710,1130,32168,9907474,1464
980,16907,1142,32539,9952130,1464
990,17106,1154,32913,10068714,1464
