input_size,comp,swap,basic,time,mem
100,1949,274,6673,1192208,5692
200,4505,649,15161,2596500,4344
300,7281,1085,24301,3881958,6024
400,10179,1503,33899,5324209,6552
500,13233,1956,43653,6628833,9351
600,16317,2457,53965,8801792,10340
700,19545,2925,64493,10357250,11380
800,22781,3402,75029,11992625,12980
900,26095,3929,85643,13634083,14596
1000,29325,4369,96173,15441125,16172
1100,32849,4958,107453,18055375,18384
1200,36287,5545,118791,19755542,19416
1300,39801,6038,130205,21745291,21032
1400,43331,6590,141635,23709291,22608
1500,46835,7113,153039,25606833,24208
1600,50513,7734,164617,27507083,25808
1700,54031,8265,176035,29511250,27424
1800,57567,8689,187471,31357334,29024
1900,61173,9335,198977,34270416,30608
2000,64809,9799,210513,35464917,32200
2100,68379,10228,222295,38593625,34420
2200,72369,11042,234785,41194083,35460
2300,76099,11637,247015,42977166,37044
2400,79879,12242,259295,45015417,38644
2500,83609,12823,271525,47423875,40260
2600,87409,13390,283825,49330625,41860
2700,91339,14130,296255,51418875,43460
2800,95161,14695,308577,54064333,45036
2900,98933,15282,320849,56051375,46652
3000,102663,15679,333079,60944000,48236
3100,106571,16243,345487,60300416,49860
3200,110423,16952,357839,62045875,51436
3300,114349,17567,370265,64845500,53052
3400,118129,18103,382545,66883583,54652
3500,122065,18806,394981,68959917,56244
3600,126099,19386,407515,71526667,57852
3700,129895,19950,419811,73316792,59444
3800,133751,20527,432167,78241125,61036
3900,137709,21055,444625,77833500,62636
4000,141639,21580,457055,79818708,64228
4100,145495,21923,469435,83200250,66444
4200,149545,22908,482585,86255000,67496
4300,153741,23547,495881,90355417,69096
4400,157775,24263,509015,91545459,70688
4500,161721,24931,522061,95451666,72296
4600,165871,25469,535311,96639917,73872
4700,169869,26258,548409,98296958,75488
4800,173981,26789,561621,100956833,77072
4900,178079,27512,574819,103003000,78696
5000,182001,28121,587841,109023542,80288
5100,186467,28784,601407,107864792,81872
5200,190505,29439,614545,110401125,83488
5300,194681,30163,627821,112974667,85088
5400,198699,30716,640939,115017625,86688
5500,202939,31458,654279,119661584,88272
5600,206923,31950,667363,119783375,89864
5700,211095,32595,680635,124438458,91496
5800,215201,33218,693841,124767959,93080
5900,219225,33849,706965,126876125,94688
6000,223559,34460,720399,129686417,96264
6100,227573,35021,733513,132611625,97872
6200,231773,35652,746813,135098625,99488
6300,236049,36475,760189,137504542,101088
6400,240087,36965,773327,153975292,102664
6500,244219,37718,786559,143044334,104288
6600,248293,38424,799733,144243125,105880
6700,252679,39125,813219,146950667,107488
6800,256805,39862,826445,148557709,109080
6900,260821,40282,839561,156115917,110672
7000,265129,40986,852969,157593334,112272
7100,269479,41583,866419,161807458,113864
7200,273563,42151,879603,158795917,115480
7300,277777,42798,892917,160331666,117096
7400,281989,43607,906229,163943833,118672
7500,286029,44223,919369,165416584,120280
7600,290253,44749,932693,175521625,121864
7700,294595,45288,946135,170091500,123488
7800,298695,45970,959335,174718667,125064
7900,302965,46498,972705,174899916,126664
8000,306903,47102,985743,177932291,128256
8100,311413,47687,999353,180222166,129872
8200,315447,48101,1012535,184455333,132072
8300,320109,49175,1026897,191267542,133132
8400,324305,49955,1040793,192620875,134724
8500,328659,50593,1054847,196310500,136332
8600,332893,51392,1068781,197785458,137924
8700,337523,52069,1083111,209251042,139508
8800,342033,52956,1097321,203387500,141116
8900,346225,53607,1111213,209988792,142732
9000,350465,54179,1125153,208443250,144324
9100,354893,55146,1139281,217370375,145924
9200,359373,55685,1153461,213413250,147500
9300,363587,56312,1167375,215885958,149132
9400,368273,57186,1181761,218971584,150716
9500,372689,57986,1195877,221513542,152324
9600,377023,58625,1209911,224507709,153900
9700,381525,59298,1224113,226675917,155516
9800,385841,60035,1238129,229495083,157124
9900,390059,60595,1252047,231383000,158716
