input_size,comp,swap,basic,time,mem
100,10198,99,15939,6746250,47580
110,12318,109,19184,8144250,5508
120,14638,119,22729,9922333,5036
130,17158,129,26574,12096167,5036
140,19878,139,30719,14413292,6624
150,22798,149,35164,16889791,5036
160,25918,159,39909,19671875,5036
170,29238,169,44954,22860917,5036
180,32758,179,50299,26421875,5036
190,36478,189,55944,30190208,5036
200,40398,199,61889,34597708,5036
210,44518,209,68134,38746125,5036
220,48838,219,74679,43600459,9284
230,53358,229,81524,48897458,14004
240,58078,239,88669,54173625,18724
250,62998,249,96114,60983209,23444
260,68118,259,103859,67228833,28444
270,73438,269,111904,73615500,34004
280,78958,279,120249,81917916,39564
290,84678,289,128894,91244917,45124
300,90598,299,137839,102508000,50684
310,96718,309,147084,113385584,56244
320,103038,319,156629,127628625,61804
330,109558,329,166474,146613292,67364
340,116278,339,176619,160250875,72924
350,123198,349,187064,177050208,78484
360,130318,359,197809,200510333,84044
370,137638,369,208854,226460958,89604
380,145158,379,220199,252811250,95164
390,152878,389,231844,281597792,100724
400,160798,399,243789,311717542,106284
410,168918,409,256034,362028291,111844
420,177238,419,268579,392176000,117404
430,185758,429,281424,418925334,122964
440,194478,439,294569,455388250,128524
450,203398,449,308014,507972375,134084
460,212518,459,321759,553209041,139644
470,221838,469,335804,619709792,145204
480,231358,479,350149,683844917,150764
490,241078,489,364794,741861209,156324
500,250998,499,379739,822569042,161884
510,261118,509,394984,877026125,167444
520,271438,519,410529,975396167,172864
530,281958,529,426374,1051272541,178284
540,292678,539,442519,1122841750,183704
550,303598,549,458964,1218219250,189124
560,314718,559,475709,1317135250,194544
570,326038,569,492754,1438419250,199964
580,337558,579,510099,1531035666,205384
590,349278,589,527744,1625937708,210804
600,361198,599,545689,1752067834,216224
610,373318,609,563934,1890175375,221644
620,385638,619,582479,1983139542,227064
630,398158,629,601324,2094404459,232484
640,410878,639,620469,2202211291,237904
650,423798,649,639914,2368771042,243324
660,436918,659,659659,2476405959,248744
670,450238,669,679704,2627408292,254164
680,463758,679,700049,2816090125,259584
690,477478,689,720694,2999278583,265004
700,491398,699,741639,3177921291,270424
710,505518,709,762884,3334138333,275844
720,519838,719,784429,3505247958,281264
730,534358,729,806274,3704611834,286684
740,549078,739,828419,3843449708,292104
750,563998,749,850864,4067861625,297524
760,579118,759,873609,4152377084,302944
770,594438,769,896654,4344712708,308364
780,609958,779,919999,4620281250,313784
790,625678,789,943644,4759553167,319204
800,641598,799,967589,5010387625,324624
810,657718,809,991834,5178400084,330044
820,674038,819,1016379,5420046584,335464
830,690558,829,1041224,5627399708,340884
840,707278,839,1066369,5854184709,346304
850,724198,849,1091814,6009178500,351724
860,741318,859,1117559,6339314750,357144
870,758638,869,1143604,6618282875,362564
880,776158,879,1169949,6914060958,367984
890,793878,889,1196594,7083283958,373404
900,811798,899,1223539,7401384541,378824
910,829918,909,1250784,7578767667,384244
920,848238,919,1278329,8049067833,389664
930,866758,929,1306174,8366181000,395084
940,885478,939,1334319,8680647416,400504
950,904398,949,1362764,8909530250,405924
960,923518,959,1391509,9241321292,411344
970,942838,969,1420554,9549686542,416764
980,962358,979,1449899,9906146167,422184
990,982078,989,1479544,10275926458,427604
