input_size,comp,swap,basic,time,mem
100,1177,0,3832,475000,4084
200,2971,0,9498,1148333,2092
300,4787,0,15238,2013417,2060
400,7141,0,22612,3056416,1972
500,8881,0,27952,4046875,2372
600,11365,0,35884,5164125,3372
700,14443,0,46002,6292666,3284
800,16585,0,52344,6894542,4218
900,18655,0,58614,7766791,4084
1000,20765,0,64924,8612084,4484
1100,22921,0,71280,9630500,4884
1200,26347,0,82602,10816542,6846
1300,30797,0,97532,12309167,5684
1400,33185,0,104720,14095958,6084
1500,35585,0,111920,14451417,6484
1600,37947,0,119082,15448708,6884
1700,40363,0,126298,18030209,7284
1800,42763,0,133498,17689125,7684
1900,45169,0,140704,18925625,8084
2000,47621,0,147956,21847958,8484
2100,50023,0,155158,21077708,8884
2200,52307,0,162242,22235584,9284
2300,54781,0,169516,23840458,9684
2400,59915,0,186842,25741750,10572
2500,65183,0,204610,27116667,10484
2600,69355,0,218442,28428875,10884
2700,72129,0,226616,29535333,11284
2800,74681,0,234568,32970042,11684
2900,77461,0,242748,32143167,12084
3000,80165,0,250852,33675458,12484
3100,82819,0,258906,34507375,12884
3200,85535,0,267022,35553541,13284
3300,88287,0,275174,36754792,13684
3400,90961,0,283248,38203625,14084
3500,93591,0,291278,39250375,14484
3600,96315,0,299402,42146000,14884
3700,99027,0,307514,41812958,15284
3800,101823,0,315710,43413792,15684
3900,104489,0,323776,44767458,16084
4000,107129,0,331816,45927125,16484
4100,109899,0,339986,47791458,16884
4200,112557,0,348044,51380583,17284
4300,115271,0,356158,50276750,17684
4400,117937,0,364224,51817958,18084
4500,120607,0,372294,53265333,18484
4600,123357,0,380444,54647167,18884
4700,128705,0,398276,56588416,19772
4800,134145,0,416816,58227250,19684
4900,139731,0,435502,60216125,20084
5000,145205,0,454076,62120917,20484
5100,150993,0,472964,63981500,20884
5200,154367,0,483758,65096000,21284
5300,157495,0,492886,66353750,21684
5400,160411,0,501802,71384917,22084
5500,163351,0,510742,69226084,22484
5600,166347,0,519738,70589084,22884
5700,169417,0,528808,71992208,23284
5800,172333,0,537724,73038958,23684
5900,175327,0,546718,76787167,24084
6000,178305,0,555696,75914958,24484
6100,181397,0,564788,84160083,24884
6200,184363,0,573754,78467500,25284
6300,187279,0,582670,79902208,25684
6400,190325,0,591716,81609375,26084
6500,193337,0,600728,82801750,26484
6600,196441,0,609832,86445292,26884
6700,199275,0,618666,85291292,27284
6800,202229,0,627620,90871875,27684
6900,205327,0,636718,88042708,28084
7000,208339,0,645730,89682500,28484
7100,211159,0,654550,90989375,28884
7200,214249,0,663640,92416292,29284
7300,217347,0,672738,94574125,29684
7400,220175,0,681566,94883167,30084
7500,223279,0,690670,111107625,30484
7600,226147,0,699538,98307167,30884
7700,229129,0,708520,99416875,31284
7800,232193,0,717584,101259041,31684
7900,235271,0,726662,100900333,32084
8000,238333,0,735724,101826000,32484
8100,241453,0,744844,105402583,32884
8200,244295,0,753686,104641917,33284
8300,247403,0,762794,106090208,33684
8400,250339,0,771730,107797333,34084
8500,253173,0,780564,109305667,34484
8600,256217,0,789608,114998667,34884
8700,259299,0,798690,112010292,35284
8800,262219,0,807610,113602625,35684
8900,265357,0,816748,115074667,36084
9000,268473,0,825864,116292083,36484
9100,271185,0,834576,120433625,36884
9200,274285,0,843676,120033250,37284
9300,279663,0,861522,123547458,38172
9400,285503,0,881062,125878708,38084
9500,291445,0,900704,129463542,38484
9600,297221,0,920180,129629208,38884
9700,303161,0,939820,131643833,39284
9800,308907,0,959266,133962375,39684
9900,314727,0,978786,140655833,40084
