input_size,comp,swap,basic,time,mem
100,593,60,1273,302958,2824
110,749,69,1569,371500,864
120,819,74,1704,401875,384
130,889,79,1839,436333,384
140,959,84,1974,475458,384
150,1069,91,2185,549125,864
160,1219,100,2472,614125,384
170,1337,107,2695,683458,384
180,1417,112,2845,720542,384
190,1495,117,2992,767417,384
200,1577,122,3145,785583,384
210,1751,131,3468,892208,384
220,1907,139,3756,955083,384
230,2019,145,3962,1012000,384
240,2109,150,4127,1074458,384
250,2199,155,4292,1098709,384
260,2289,160,4457,1157042,420
270,2379,165,4622,1215125,552
280,2469,170,4787,1282458,664
290,2579,176,4990,1370458,1144
300,2729,184,5269,1467250,888
310,2899,193,5586,1637208,888
320,3049,201,5865,1704084,888
330,3207,209,6156,1819958,888
340,3343,216,6406,1933042,888
350,3439,221,6580,2016625,1000
360,3543,226,6766,2058750,1000
370,3643,231,6946,2207875,1000
380,3741,236,7123,2205584,1000
390,3841,241,7303,2279083,1000
400,3945,246,7489,2363834,1000
410,4137,255,7839,2573667,1095
420,4309,263,8151,2639125,2788
430,4485,271,8469,2722459,1028
440,4683,280,8828,2843000,1028
450,4837,287,9105,2956625,1028
460,4947,292,9300,3042625,1028
470,5057,297,9495,3145750,1028
480,5167,302,9690,3194916,1028
490,5277,307,9885,3289375,1028
500,5387,312,10080,3335792,1028
510,5497,317,10275,3448334,1028
520,5607,322,10470,3545500,1140
530,5717,327,10665,3649959,1140
540,5827,332,10860,3706084,1140
550,5937,337,11055,3769958,1140
560,6047,342,11250,3823208,1140
570,6157,347,11445,3950666,1140
580,6307,354,11716,4033459,1732
590,6477,362,12025,4132125,1252
600,6647,370,12334,4340833,1252
610,6837,379,12681,4439125,1252
620,7007,387,12990,4542583,1252
630,7177,395,13299,4650000,1252
640,7367,404,13646,4784542,1252
650,7545,412,13967,4983208,1252
660,7721,420,14285,5060459,1252
670,7917,429,14641,5223000,1252
680,8035,434,14848,5309834,1252
690,8151,439,15052,5402291,1252
700,8267,444,15256,5469167,1252
710,8389,449,15469,5598167,1252
720,8513,454,15685,5619542,1252
730,8635,459,15898,5783125,1252
740,8755,464,16108,5867833,1252
750,8873,469,16315,5932500,1252
760,8989,474,16519,6035625,1252
770,9107,479,16726,6196083,1252
780,9231,484,16942,6188875,1252
790,9355,489,17158,6280583,1252
800,9477,494,17371,6379666,1252
810,9689,503,17751,6695250,1252
820,9879,511,18090,6629417,1252
830,10067,519,18426,6802333,1252
840,10285,528,18815,6902042,1252
850,10481,536,19163,7806459,1252
860,10677,544,19511,7280625,1252
870,10895,553,19900,7372667,1252
880,11091,561,20248,7470583,1252
890,11287,569,20596,8117333,1252
900,11461,576,20903,7815042,1252
910,11591,581,21128,7849500,1252
920,11721,586,21353,8094583,1252
930,11851,591,21578,8271875,1252
940,11981,596,21803,8255625,1252
950,12111,601,22028,8207250,1252
960,12241,606,22253,8309125,1252
970,12371,611,22478,8504042,1252
980,12501,616,22703,8581291,1252
990,12631,621,22928,8520334,1252
